2/10/2020,9:09,PM,0.16
2/11/2020,3:40,AM,0.84
2/11/2020,9:46,AM,0.12
2/11/2020,4:06,PM,0.75
2/11/2020,9:49,PM,0.17
2/12/2020,4:09,AM,0.82
2/12/2020,10:17,AM,0.11
2/12/2020,4:40,PM,0.77
2/12/2020,10:28,PM,0.2
2/13/2020,4:36,AM,0.78
2/13/2020,10:49,AM,0.11
2/13/2020,5:15,PM,0.77
2/13/2020,11:07,PM,0.24
2/14/2020,5:02,AM,0.73
2/14/2020,11:22,AM,0.13
2/14/2020,5:52,PM,0.74
2/14/2020,11:47,PM,0.31
2/15/2020,5:28,AM,0.68
2/15/2020,11:55,AM,0.17
2/15/2020,6:34,PM,0.7
2/16/2020,12:30,AM,0.38
2/16/2020,5:55,AM,0.62
2/16/2020,12:30,PM,0.23
2/16/2020,7:26,PM,0.65
2/17/2020,1:31,AM,0.44
2/17/2020,6:23,AM,0.55
2/17/2020,1:10,PM,0.29
2/17/2020,8:48,PM,0.6
2/18/2020,4:39,AM,0.47
2/18/2020,6:57,AM,0.48
2/18/2020,2:45,PM,0.35
2/18/2020,11:37,PM,0.6
2/19/2020,7:08,AM,0.41
2/19/2020,11:46,AM,0.44
2/19/2020,5:31,PM,0.36
2/20/2020,12:54,AM,0.65
2/20/2020,7:39,AM,0.35
2/20/2020,1:19,PM,0.5
2/20/2020,6:47,PM,0.32
2/21/2020,1:30,AM,0.69
2/21/2020,8:06,AM,0.29
2/21/2020,1:52,PM,0.56
2/21/2020,7:35,PM,0.29
2/22/2020,1:58,AM,0.73
2/22/2020,8:32,AM,0.24
2/22/2020,2:19,PM,0.62
2/22/2020,8:11,PM,0.25
2/23/2020,2:24,AM,0.77
2/23/2020,8:55,AM,0.2
2/23/2020,2:46,PM,0.67
2/23/2020,8:41,PM,0.23
2/24/2020,2:51,AM,0.79
2/24/2020,9:17,AM,0.17
2/24/2020,3:14,PM,0.71
2/24/2020,9:07,PM,0.21
2/25/2020,3:18,AM,0.8
2/25/2020,9:36,AM,0.15
2/25/2020,3:43,PM,0.74
2/25/2020,9:31,PM,0.2
2/26/2020,3:46,AM,0.8
2/26/2020,9:53,AM,0.14
2/26/2020,4:12,PM,0.75
2/26/2020,9:54,PM,0.2
2/27/2020,4:14,AM,0.78
2/27/2020,10:11,AM,0.14
2/27/2020,4:41,PM,0.75
2/27/2020,10:19,PM,0.22
2/28/2020,4:40,AM,0.74
