flo2d_250_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
1,Kittampahuwa,5.677585223306904,Battaramulla,7.921161167467481,Kotikawatta,7.938053354261975
2,Kittampahuwa,5.579974243821296,Kotikawatta,7.931871631750127,Battaramulla,8.024648726584395
3,Kittampahuwa,5.492135745213798,Kotikawatta,7.933649094607734,Battaramulla,8.13458566789495
4,Kittampahuwa,5.4251174488022516,Kotikawatta,7.954402056281322,Battaramulla,8.260434608719788
5,Kittampahuwa,5.35835320371034,Kotikawatta,7.9720335749332865,Battaramulla,8.382355497726946
6,Kittampahuwa,5.302448166135584,Kotikawatta,7.997656685480808,Battaramulla,8.510529312503024
7,Kittampahuwa,5.952015976386195,Battaramulla,7.344555261455028,Kotikawatta,7.8020434190911985
8,Kittampahuwa,5.8157534239031685,Battaramulla,7.422132101900098,Kotikawatta,7.763320144966544
9,Kittampahuwa,5.6873355341666825,Battaramulla,7.507323209499243,Kotikawatta,7.73257406613663
10,Kittampahuwa,5.567305179486004,Battaramulla,7.599872529522953,Kotikawatta,7.709900619189536
11,Kittampahuwa,5.4562159363942255,Kotikawatta,7.695371160001484,Battaramulla,7.69951472682394
12,Kittampahuwa,5.354624320750139,Kotikawatta,7.689031856166984,Battaramulla,7.805978186427109
13,Kittampahuwa,5.2630803495890035,Kotikawatta,7.690902958397907,Battaramulla,7.918987797741755
14,Kittampahuwa,5.182116538603819,Kotikawatta,7.700978483822326,Battaramulla,8.038267469035334
15,Kittampahuwa,6.376380389748705,Battaramulla,6.864569402923945,Kohuwala,7.2320177981392355
16,Kittampahuwa,6.208825712463059,Battaramulla,6.9110539958151715,Kohuwala,7.4386088108443955
17,Kittampahuwa,6.0470745394516525,Battaramulla,6.966299263462844,Kohuwala,7.647877126934714
18,Kittampahuwa,5.891604885554364,Battaramulla,7.030098677113542,Kotikawatta,7.600084168192721
19,Kittampahuwa,5.742926924424356,Battaramulla,7.102221713092926,Kotikawatta,7.551970078382013
20,Kittampahuwa,5.601581480919137,Battaramulla,7.182417627555586,Kotikawatta,7.511959040695456
