flo2d_150_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
26710,100044,7.8082946296657605,100030,13.718585707416599,-1,-1
26711,100044,7.714055848636438,100030,13.693997325928514,-1,-1
26712,100044,7.629685288953245,100030,13.659929359978285,-1,-1
26713,100044,7.5385517279569685,100030,13.638400013438938,-1,-1
26714,100044,7.4500218627523,100030,13.618656172240867,-1,-1
26715,100044,7.362854752398765,100030,13.600412509573616,-1,-1
26716,100044,7.277786234999156,100030,13.583827991003348,-1,-1
26717,100044,7.195492163196008,100030,13.569012312174321,-1,-1
26718,100044,7.1148288563822115,100030,13.555751446520283,-1,-1
26719,100044,7.037058637936203,100030,13.544245236808274,-1,-1
26720,100044,6.9611074008170775,100030,13.534327499738712,-1,-1
26721,100044,6.887639382287628,100030,13.52609332757805,-1,-1
26722,100044,6.817246677128469,100030,13.519587777625967,-1,-1
26723,100044,6.748966740474406,100030,13.514716911084173,-1,-1
26724,100044,6.683411546759659,100030,13.511536946994838,-1,-1
26725,100044,6.621112995573046,100030,13.510053843872301,-1,-1
26726,100044,6.561228156367539,100030,13.510246187205247,-1,-1
26727,100044,6.5043086179412155,100030,13.512131112628657,-1,-1
26728,100044,6.450817728971172,100030,13.515675440862264,100032,14.984503022758956
26729,100044,6.400039440957078,100030,13.520930348171245,100032,14.944716021258648
26730,100044,6.352456088612603,100030,13.527873827841608,100032,14.906357068099455
26731,100044,6.308453733478397,100030,13.536433686310554,100032,14.869703407768819
26732,100044,6.267449386564703,100030,13.54673353494307,100032,14.834222702635266
26733,100044,6.230110882380239,100030,13.558618131070686,100032,14.800446989109023
26734,100044,6.195946634378536,100030,13.572259127743978,100032,14.767885918512196
26735,100044,6.165303385925585,100030,13.5875696135246,100032,14.736804806083848
26736,100044,6.138419748152363,100030,13.60441308495789,100032,14.70742516451194
26737,100044,6.11494463844093,100030,13.623032895094596,100032,14.679320693594201
26738,100044,6.095132229445519,100030,13.64330359959026,100032,14.652723127912557
26739,100044,6.079123246421507,100030,13.665050739533907,100032,14.627819569063714
26740,100044,6.0667098345652475,100030,13.688588650787288,100032,14.604248835064807
26741,100044,6.058047129615735,100030,13.713753854471442,100032,14.58220836217516
26742,100044,6.053173461264891,100030,13.740334587960088,100032,14.561850232121014
26743,100044,6.052025739365414,100030,13.768715256281666,100032,14.542879306224469
26744,100044,6.054622954994744,100030,13.798468725395143,100032,14.525580521934062
26745,100044,6.060998721813966,100030,13.830025453656656,100032,14.509703149649424
26746,100044,6.071135803019447,100030,13.863160062525264,100032,14.49538614456874
26747,100044,6.08489974309709,100030,13.897600421924377,100032,14.482722176833718
26748,100044,6.102469099936536,100030,13.933845128015934,100032,14.471527745201259
26749,100044,6.123723652750533,100030,13.971632710765752,100032,14.46190606060411
26750,100044,6.1484288818858275,100030,14.010656029921437,100032,14.453913665941808
26751,100044,6.1769069740632,100030,14.051480442319125,100032,14.447434773539477
26752,100044,6.20893870736742,100030,14.093809309188917,100032,14.442536508705555
26753,100044,6.244195511930608,100030,14.13730150490075,100032,14.43923908474591
26754,100044,6.283140733033645,100030,14.182587625197138,100032,14.437494736695134
26755,100044,6.325139115786463,100030,14.228987816346622,100032,14.437329681368514
26756,100044,6.370745992293664,100030,14.277175205920315,100032,14.43874152760812
26757,100044,6.419592060869184,100030,14.326796830720424,100032,14.441736857799397
26758,100044,6.47121016232634,100030,14.37745739632853,100032,14.44627525448518
26759,100044,6.526289794442813,100030,14.429892461207771,100032,14.452422459377402
26760,100044,6.584382586513414,100032,14.46014865611,100030,14.483716708070725
26761,100044,6.6449502752116425,100032,14.46937716634149,100030,14.538503865481344
26762,100044,6.708810587909096,100032,14.480241692359934,100030,14.595050105120068
26763,100044,6.7754448487673535,100032,14.492676126215217,100030,14.652938902379365
26764,100044,6.854015717029758,100032,14.495581594344484,100030,14.701577602225825
26765,100044,6.925834551181338,100032,14.511143586022666,100030,14.762135870073957
26766,100044,6.999628203832982,100032,14.528131546126852,100030,14.823530011921408
26767,100044,7.076410642129605,100032,14.546791684260716,100030,14.886653523736207
